[시트: 거래내역조회 (보통예금)]
거래내역조회 (보통예금)
예금주: 세진건재상사
계좌번호: 000-0000-0000-30 (가상은행)
조회기간: 2026.08.01 ~ 2026.08.31
조회일시: 2026.09.01 09:12
단위: 원
거래일시	적요	출금액	입금액	잔액
2026.08.05 14:52	급여이체	450,000	15,420,000
2026.08.07 12:51	가상유통	2,920,000	16,930,000
2026.08.09 10:12	전기요금	40,000	15,870,000
2026.08.11 16:14	전기요금	1,540,000	15,260,000
2026.08.14 12:28	세금계산서입금	2,120,000	18,120,000
2026.08.18 12:29	부가세납부	1,940,000	20,240,000
2026.08.19 15:36	카드대금	3,160,000	17,160,000
2026.08.19 16:09	온라인매출정산	30,000	15,230,000
2026.08.20 13:12	온라인매출정산	4,870,000	22,180,000
2026.08.20 14:08	부가세납부	2,210,000	15,910,000
2026.08.23 11:06	온라인매출정산	2,080,000	17,310,000
2026.08.23 18:17	세금계산서입금	4,430,000	19,850,000
2026.08.27 15:15	카드대금	900,000	16,800,000
2026.08.28 09:07	부가세납부	1,260,000	15,900,000
※ 본 내역은 인터넷뱅킹 조회 결과이며 증명서가 아닙니다.
